"Date2","Month","Year","HBT","HBName","TotalOperations","TotalCancelled","Performed","CancelledByPatientReason","ClinicalReason","NonClinicalCapacityReason","OtherReason","Cancelled_By_Patient_pc_of_planned_ops","Cancelled_clinical_reason_pc_of_planned_ops","Non_clinical_capacity_reason_pc_of_planned_ops","Other_Reason_pc_of_planned_ops","Cancelled_By_Patient_pc_of_cancelled_ops","Cancelled_clinical_reason_pc_of_cancelled_ops","Non_clinical_capacity_reason_pc_of_cancelled_ops","Other_Reason_pc_of_cancelled_ops"
2015-05-01,"May","2015","S08000015","NHS Ayrshire and Arran",1861,178,1683,52,70,27,29,2.79419666845782,3.76141859215476,1.45083288554541,1.5583019881784,29.2134831460674,39.3258426966292,15.1685393258427,1.5583019881784
2015-05-01,"May","2015","S08000016","NHS Borders",457,66,391,11,10,45,0,2.40700218818381,2.18818380743982,9.84682713347921,0,16.6666666666667,15.1515151515152,68.1818181818182,0
2015-05-01,"May","2015","S08000017","NHS Dumfries and Galloway",1433,113,1320,33,56,15,9,2.30286113049546,3.90788555478018,1.04675505931612,0.628053035589672,29.2035398230088,49.5575221238938,13.2743362831858,0.628053035589672
2015-05-01,"May","2015","S08000019","NHS Forth Valley",1250,91,1159,40,34,10,7,3.2,2.72,0.8,0.56,43.956043956044,37.3626373626374,10.989010989011,0.56
2015-05-01,"May","2015","S08000020","NHS Grampian",3310,264,3046,110,71,76,7,3.32326283987915,2.14501510574018,2.29607250755287,0.211480362537764,41.6666666666667,26.8939393939394,28.7878787878788,0.211480362537764
2015-05-01,"May","2015","S08000022","NHS Highland",1546,241,1305,94,53,94,0,6.08020698576973,3.42820181112549,6.08020698576973,0,39.0041493775934,21.9917012448133,39.0041493775934,0
2015-05-01,"May","2015","S08000024","NHS Lothian",4695,551,4144,254,81,27,189,5.41001064962726,1.72523961661342,0.575079872204473,4.02555910543131,46.0980036297641,14.7005444646098,4.90018148820327,4.02555910543131
2015-05-01,"May","2015","S08000025","NHS Orkney",182,40,142,30,3,5,2,16.4835164835165,1.64835164835165,2.74725274725275,1.0989010989011,75,7.5,12.5,1.0989010989011
2015-05-01,"May","2015","S08000026","NHS Shetland",163,8,155,5,2,1,0,3.06748466257669,1.22699386503067,0.613496932515337,0,62.5,25,12.5,0
2015-05-01,"May","2015","S08000028","NHS Western Isles",102,12,90,3,3,6,0,2.94117647058824,2.94117647058824,5.88235294117647,0,25,25,50,0
2015-05-01,"May","2015","S08000029","NHS Fife",1291,103,1188,22,57,22,2,1.70410534469404,4.41518202943455,1.70410534469404,0.154918667699458,21.3592233009709,55.3398058252427,21.3592233009709,0.154918667699458
2015-05-01,"May","2015","S08000030","NHS Tayside",2389,265,2124,80,107,66,12,3.34868145667643,4.47886144830473,2.76266220175806,0.502302218501465,30.188679245283,40.377358490566,24.9056603773585,0.502302218501465
2015-05-01,"May","2015","S08000031","NHS Greater Glasgow and Clyde",6438,483,5955,191,223,64,5,2.96675986331159,3.46380863622243,0.994097545821684,0.077663870767319,39.5445134575569,46.1697722567288,13.2505175983437,0.077663870767319
2015-05-01,"May","2015","S08000032","NHS Lanarkshire",2419,223,2196,112,76,35,0,4.63001240181893,3.1417941298057,1.44687887556842,0,50.2242152466368,34.0807174887892,15.695067264574,0
2015-05-01,"May","2015","SB0801","The Golden Jubilee National Hospital",1274,57,1217,20,7,30,0,1.56985871271586,0.549450549450549,2.35478806907378,0,35.0877192982456,12.280701754386,52.6315789473684,0
2015-06-01,"Jun","2015","S08000015","NHS Ayrshire and Arran",2015,205,1810,71,83,29,22,3.52357320099256,4.11910669975186,1.43920595533499,1.09181141439206,34.6341463414634,40.4878048780488,14.1463414634146,1.09181141439206
2015-06-01,"Jun","2015","S08000016","NHS Borders",511,45,466,15,9,20,1,2.93542074363992,1.76125244618395,3.91389432485323,0.195694716242661,33.3333333333333,20,44.4444444444444,0.195694716242661
2015-06-01,"Jun","2015","S08000017","NHS Dumfries and Galloway",1674,113,1561,36,60,10,7,2.1505376344086,3.584229390681,0.597371565113501,0.41816009557945,31.858407079646,53.0973451327434,8.84955752212389,0.41816009557945
2015-06-01,"Jun","2015","S08000019","NHS Forth Valley",1190,97,1093,46,37,8,6,3.86554621848739,3.10924369747899,0.672268907563025,0.504201680672269,47.4226804123711,38.1443298969072,8.24742268041237,0.504201680672269
2015-06-01,"Jun","2015","S08000020","NHS Grampian",3405,310,3095,135,96,62,17,3.9647577092511,2.81938325991189,1.8208516886931,0.499265785609398,43.5483870967742,30.9677419354839,20,0.499265785609398
2015-06-01,"Jun","2015","S08000022","NHS Highland",1604,199,1405,90,42,67,0,5.61097256857855,2.61845386533666,4.17705735660848,0,45.2261306532663,21.105527638191,33.6683417085427,0
2015-06-01,"Jun","2015","S08000024","NHS Lothian",5632,649,4983,329,93,26,201,5.84161931818182,1.65127840909091,0.461647727272727,3.56889204545455,50.693374422188,14.3297380585516,4.00616332819723,3.56889204545455
2015-06-01,"Jun","2015","S08000025","NHS Orkney",165,11,154,4,0,7,0,2.42424242424242,0,4.24242424242424,0,36.3636363636364,0,63.6363636363636,0
