"Date2","Month","Year","TreatmentLocationName","CurrentDepartmentType","Status","HBName","TotalOperations","TotalCancelled","Performed","CancelledByPatientReason","ClinicalReason","NonClinicalCapacityReason","OtherReason","Cancelled_By_Patient_pc_of_planned_ops","Cancelled_clinical_reason_pc_of_planned_ops","Non_clinical_capacity_reason_pc_of_planned_ops","Other_Reason_pc_of_planned_ops","Cancelled_By_Patient_pc_of_cancelled_ops","Cancelled_clinical_reason_pc_of_cancelled_ops","Non_clinical_capacity_reason_pc_of_cancelled_ops","Other_Reason_pc_of_cancelled_ops","AddressLine","CAName","Postcode","lat","lon","filename"
2022-04-01,"Apr","2022","University Hospital Crosshouse","Emergency Department ","Open","NHS Ayrshire and Arran",227,15,212,5,6,3,1,2.20264317180617,2.6431718061674,1.3215859030837,0.440528634361234,33.3333333333333,40,20,0.440528634361234,"Kilmarnock Road, Kilmarnock, Ayrshire","East Ayrshire","KA2 0BE",55.6139432879184,-4.53941204225678,"UniversityHospitalCrosshouse"
2022-04-01,"Apr","2022","University Hospital Ayr","Emergency Department ","Open","NHS Ayrshire and Arran",760,88,672,20,57,10,1,2.63157894736842,7.5,1.31578947368421,0.131578947368421,22.7272727272727,64.7727272727273,11.3636363636364,0.131578947368421,"Dalmellington Road, Ayr","South Ayrshire","KA6 6DX",55.4303291303075,-4.59555841476628,"UniversityHospitalAyr"
2022-04-01,"Apr","2022","Borders General Hospital","Emergency Department ","Open","NHS Borders",153,27,126,1,3,23,0,0.65359477124183,1.96078431372549,15.0326797385621,0,3.7037037037037,11.1111111111111,85.1851851851852,0,"Melrose","Scottish Borders","TD6 9BS",55.5954784775703,-2.74194080920813,"BordersGeneralHospital"
2022-04-01,"Apr","2022","Galloway Community Hospital","Emergency Department ","Open","NHS Dumfries and Galloway",70,3,67,1,1,0,1,1.42857142857143,1.42857142857143,0,1.42857142857143,33.3333333333333,33.3333333333333,0,1.42857142857143,"Dalrymple Street, Stranraer","Dumfries and Galloway","DG9 7DQ",54.8992099034115,-5.02175805182558,"GallowayCommunityHospital"
2022-04-01,"Apr","2022","Dumfries & Galloway Royal Infirmary","Emergency Department ","Open","NHS Dumfries and Galloway",927,80,847,15,44,18,3,1.61812297734628,4.74649406688242,1.94174757281553,0.323624595469256,18.75,55,22.5,0.323624595469256,"Cargenbridge, Dumfries","Dumfries and Galloway","DG2 8RX",55.0588883415099,-3.65902681549153,"Dumfries&GallowayRoyalInfirmary"
2022-04-01,"Apr","2022","Victoria Hospital (NHS Fife)","Emergency Department ","Open","NHS Fife",433,36,397,6,13,17,0,1.38568129330254,3.00230946882217,3.92609699769053,0,16.6666666666667,36.1111111111111,47.2222222222222,0,"Hayfield Road, Kirkcaldy","Fife","KY2 5AH",56.1251141649954,-3.16013643057394,"VictoriaHospital(NHSFife)"
2022-04-01,"Apr","2022","Queen Margaret Hospital","Minor Injury Unit or Other ","Open","NHS Fife",467,30,437,14,12,4,0,2.99785867237687,2.56959314775161,0.856531049250535,0,46.6666666666667,40,13.3333333333333,0,"Whitefield Road, Dunfermline","Fife","KY12 0SU",56.0823066910109,-3.42696300817369,"QueenMargaretHospital"
2022-04-01,"Apr","2022","Forth Valley Royal Hospital","Emergency Department ","Open","NHS Forth Valley",856,94,762,55,24,4,11,6.42523364485981,2.80373831775701,0.467289719626168,1.28504672897196,58.5106382978723,25.531914893617,4.25531914893617,1.28504672897196,"Stirling Road, Larbert","Falkirk","FK5 4WR",56.0251206111352,-3.84800967131254,"ForthValleyRoyalHospital"
2022-04-01,"Apr","2022","Aberdeen Royal Infirmary","Emergency Department ","Open","NHS Grampian",1165,107,1058,30,50,18,9,2.57510729613734,4.29184549356223,1.5450643776824,0.772532188841202,28.0373831775701,46.7289719626168,16.8224299065421,0.772532188841202,"Foresterhill Road, Aberdeen","Aberdeen City","AB25 2ZN",57.1542751122738,-2.13735918391765,"AberdeenRoyalInfirmary"
2022-04-01,"Apr","2022","Royal Aberdeen Children's Hospital","Emergency Department ","Open","NHS Grampian",178,46,132,15,2,25,4,8.42696629213483,1.12359550561798,14.0449438202247,2.24719101123596,32.6086956521739,4.34782608695652,54.3478260869565,2.24719101123596,"Westburn Drive, Aberdeen","Aberdeen City","AB25 2ZG",57.1535947443495,-2.13520786603452,"RoyalAberdeenChildren'sHospital"
2022-04-01,"Apr","2022","Dr Gray's Hospital","Emergency Department ","Open","NHS Grampian",345,28,317,11,9,6,2,3.18840579710145,2.60869565217391,1.73913043478261,0.579710144927536,39.2857142857143,32.1428571428571,21.4285714285714,0.579710144927536,"Elgin, Morayshire","Moray","IV30 1SN",57.6456291510353,-3.33195145425025,"DrGray'sHospital"
2022-04-01,"Apr","2022","Vale Of Leven District General Hospital","Minor Injury Unit or Other ","Open","NHS Greater Glasgow and Clyde",295,42,253,18,16,7,1,6.10169491525424,5.42372881355932,2.3728813559322,0.338983050847458,42.8571428571429,38.0952380952381,16.6666666666667,0.338983050847458,"North Main Street, Alexandria","West Dunbartonshire","G83 0UA",55.993085874084,-4.59182463396434,"ValeOfLevenDistrictGeneralHospital"
2022-04-01,"Apr","2022","Vale Of Leven District General Hospital","Minor Injury Unit or Other ","Open","NHS Greater Glasgow and Clyde",295,42,253,18,16,7,1,6.10169491525424,5.42372881355932,2.3728813559322,0.338983050847458,42.8571428571429,38.0952380952381,16.6666666666667,0.338983050847458,"North Main Street, Alexandria","West Dunbartonshire","G83 0UA",55.993085874084,-4.59182463396434,"ValeOfLevenDistrictGeneralHospital"
2022-04-01,"Apr","2022","Inverclyde Royal Hospital","Emergency Department ","Open","NHS Greater Glasgow and Clyde",190,10,180,2,5,3,0,1.05263157894737,2.63157894736842,1.57894736842105,0,20,50,30,0,"Larkfield Road, Greenock","Inverclyde","PA16 0XN",55.9443078684381,-4.80984500498212,"InverclydeRoyalHospital"
2022-04-01,"Apr","2022","Inverclyde Royal Hospital","Emergency Department ","Open","NHS Greater Glasgow and Clyde",190,10,180,2,5,3,0,1.05263157894737,2.63157894736842,1.57894736842105,0,20,50,30,0,"Larkfield Road, Greenock","Inverclyde","PA16 0XN",55.9443078684381,-4.80984500498212,"InverclydeRoyalHospital"
2022-04-01,"Apr","2022","Royal Alexandra Hospital","Emergency Department ","Open","NHS Greater Glasgow and Clyde",329,26,303,21,3,2,0,6.38297872340426,0.911854103343465,0.60790273556231,0,80.7692307692308,11.5384615384615,7.69230769230769,0,"Corsebar Road, Paisley","Renfrewshire","PA2 9PN",55.8352208160643,-4.43782149024335,"RoyalAlexandraHospital"
2022-04-01,"Apr","2022","Royal Alexandra Hospital","Emergency Department ","Open","NHS Greater Glasgow and Clyde",329,26,303,21,3,2,0,6.38297872340426,0.911854103343465,0.60790273556231,0,80.7692307692308,11.5384615384615,7.69230769230769,0,"Corsebar Road, Paisley","Renfrewshire","PA2 9PN",55.8352208160643,-4.43782149024335,"RoyalAlexandraHospital"
2022-04-01,"Apr","2022","Glasgow Royal Infirmary","Emergency Department ","Open","NHS Greater Glasgow and Clyde",351,16,335,1,7,8,0,0.284900284900285,1.99430199430199,2.27920227920228,0,6.25,43.75,50,0,"84 Castle Street, Glasgow","Glasgow City","G4 0SF",55.8640295735423,-4.23566038415277,"GlasgowRoyalInfirmary"
2022-04-01,"Apr","2022","New Stobhill Hospital","Minor Injury Unit or Other ","Open","NHS Greater Glasgow and Clyde",266,17,249,6,4,7,0,2.25563909774436,1.50375939849624,2.63157894736842,0,35.2941176470588,23.5294117647059,41.1764705882353,0,"133 Balornock Road, Glasgow","Glasgow City","G21 3UW",55.8928955709958,-4.21985561800892,"NewStobhillHospital"
2022-04-01,"Apr","2022","New Victoria Hospital","Minor Injury Unit or Other ","Open","NHS Greater Glasgow and Clyde",349,31,318,7,17,7,0,2.00573065902579,4.87106017191977,2.00573065902579,0,22.5806451612903,54.8387096774194,22.5806451612903,0,"55 Grange Road, Glasgow","Glasgow City","G42 9LF",55.8286154297378,-4.26532278814117,"NewVictoriaHospital"
