Date2,Month,Year,LocationName,CurrentDepartmentType,Status,Postcode,AddressLine,lon,lat,CAName,TotalOperations,Cancelled,Performed,Performed_PC,Cancelled_PC,Group,Cancelled by patient,Clinical reason,Capacity reason,Other reason,Cancelled_By_Patient_pc_of_planned_ops,Cancelled_clinical_reason_pc_of_planned_ops,Non_clinical_capacity_reason_pc_of_planned_ops,Other_Reason_pc_of_planned_ops,Cancelled_By_Patient_pc_of_cancelled_ops,Cancelled_clinical_reason_pc_of_cancelled_ops,Non_clinical_capacity_reason_pc_of_cancelled_ops,Other_Reason_pc_of_cancelled_ops,PerformedPopUp,CancelledPopUp
2015-05-01,May,2015,NA,NA,NA,NA,NA,NA,NA,NA,182,40,142,78,22,22,30,3,5,2,16.5,1.6,2.7,1.1,75,7.5,12.5,1.1,142,40
2015-06-01,Jun,2015,NA,NA,NA,NA,NA,NA,NA,NA,165,11,154,93.3,6.7,6.7,4,0,7,0,2.4,0,4.2,0,36.4,0,63.6,0,154,11
2015-07-01,Jul,2015,NA,NA,NA,NA,NA,NA,NA,NA,168,15,153,91.1,8.9,8.9,3,4,8,0,1.8,2.4,4.8,0,20,26.7,53.3,0,153,15
2015-08-01,Aug,2015,NA,NA,NA,NA,NA,NA,NA,NA,182,11,171,94,6,6,1,1,6,3,0.5,0.5,3.3,1.6,9.1,9.1,54.5,1.6,171,11
2015-09-01,Sep,2015,NA,NA,NA,NA,NA,NA,NA,NA,162,13,149,92,8,8,9,1,3,0,5.6,0.6,1.9,0,69.2,7.7,23.1,0,149,13
2015-10-01,Oct,2015,NA,NA,NA,NA,NA,NA,NA,NA,247,30,217,87.9,12.1,12.1,5,9,11,5,2,3.6,4.5,2,16.7,30,36.7,2,217,30
2015-11-01,Nov,2015,NA,NA,NA,NA,NA,NA,NA,NA,206,18,188,91.3,8.7,8.7,6,7,3,2,2.9,3.4,1.5,1,33.3,38.9,16.7,1,188,18
2015-12-01,Dec,2015,NA,NA,NA,NA,NA,NA,NA,NA,199,17,182,91.5,8.5,8.5,8,8,0,1,4,4,0,0.5,47.1,47.1,0,0.5,182,17
2016-01-01,Jan,2016,NA,NA,NA,NA,NA,NA,NA,NA,152,15,137,90.1,9.9,9.9,9,3,0,3,5.9,2,0,2,60,20,0,2,137,15
2016-02-01,Feb,2016,NA,NA,NA,NA,NA,NA,NA,NA,205,18,187,91.2,8.8,8.8,8,1,9,0,3.9,0.5,4.4,0,44.4,5.6,50,0,187,18
2016-03-01,Mar,2016,NA,NA,NA,NA,NA,NA,NA,NA,237,22,215,90.7,9.3,9.3,6,6,10,0,2.5,2.5,4.2,0,27.3,27.3,45.5,0,215,22
2016-04-01,Apr,2016,NA,NA,NA,NA,NA,NA,NA,NA,211,22,189,89.6,10.4,10.4,3,3,16,0,1.4,1.4,7.6,0,13.6,13.6,72.7,0,189,22
2016-05-01,May,2016,NA,NA,NA,NA,NA,NA,NA,NA,229,25,204,89.1,10.9,10.9,9,4,12,0,3.9,1.7,5.2,0,36,16,48,0,204,25
2016-06-01,Jun,2016,NA,NA,NA,NA,NA,NA,NA,NA,224,22,202,90.2,9.8,9.8,8,5,9,0,3.6,2.2,4,0,36.4,22.7,40.9,0,202,22
2016-07-01,Jul,2016,NA,NA,NA,NA,NA,NA,NA,NA,188,10,178,94.7,5.3,5.3,0,3,7,0,0,1.6,3.7,0,0,30,70,0,178,10
2016-08-01,Aug,2016,NA,NA,NA,NA,NA,NA,NA,NA,197,13,184,93.4,6.6,6.6,4,5,3,1,2,2.5,1.5,0.5,30.8,38.5,23.1,0.5,184,13
2016-09-01,Sep,2016,NA,NA,NA,NA,NA,NA,NA,NA,228,11,217,95.2,4.8,4.8,5,2,1,3,2.2,0.9,0.4,1.3,45.5,18.2,9.1,1.3,217,11
2016-10-01,Oct,2016,NA,NA,NA,NA,NA,NA,NA,NA,182,10,172,94.5,5.5,5.5,6,2,0,2,3.3,1.1,0,1.1,60,20,0,1.1,172,10
2016-11-01,Nov,2016,NA,NA,NA,NA,NA,NA,NA,NA,207,15,192,92.8,7.2,7.2,6,2,3,4,2.9,1,1.4,1.9,40,13.3,20,1.9,192,15
2016-12-01,Dec,2016,NA,NA,NA,NA,NA,NA,NA,NA,178,12,166,93.3,6.7,6.7,9,1,1,1,5.1,0.6,0.6,0.6,75,8.3,8.3,0.6,166,12
2017-01-01,Jan,2017,NA,NA,NA,NA,NA,NA,NA,NA,205,12,193,94.1,5.9,5.9,8,2,1,1,3.9,1,0.5,0.5,66.7,16.7,8.3,0.5,193,12
2017-02-01,Feb,2017,NA,NA,NA,NA,NA,NA,NA,NA,176,11,165,93.8,6.2,6.2,6,1,0,4,3.4,0.6,0,2.3,54.5,9.1,0,2.3,165,11
2017-03-01,Mar,2017,NA,NA,NA,NA,NA,NA,NA,NA,239,21,218,91.2,8.8,8.8,16,2,1,2,6.7,0.8,0.4,0.8,76.2,9.5,4.8,0.8,218,21
2017-04-01,Apr,2017,NA,NA,NA,NA,NA,NA,NA,NA,177,9,168,94.9,5.1,5.1,3,1,2,3,1.7,0.6,1.1,1.7,33.3,11.1,22.2,1.7,168,9
2017-05-01,May,2017,NA,NA,NA,NA,NA,NA,NA,NA,192,11,181,94.3,5.7,5.7,7,1,2,1,3.6,0.5,1,0.5,63.6,9.1,18.2,0.5,181,11
2017-06-01,Jun,2017,NA,NA,NA,NA,NA,NA,NA,NA,191,16,175,91.6,8.4,8.4,8,5,1,2,4.2,2.6,0.5,1,50,31.2,6.2,1,175,16
2017-07-01,Jul,2017,NA,NA,NA,NA,NA,NA,NA,NA,176,9,167,94.9,5.1,5.1,4,1,1,3,2.3,0.6,0.6,1.7,44.4,11.1,11.1,1.7,167,9
2017-08-01,Aug,2017,NA,NA,NA,NA,NA,NA,NA,NA,175,11,164,93.7,6.3,6.3,2,2,2,5,1.1,1.1,1.1,2.9,18.2,18.2,18.2,2.9,164,11
2017-09-01,Sep,2017,NA,NA,NA,NA,NA,NA,NA,NA,162,7,155,95.7,4.3,4.3,4,1,0,2,2.5,0.6,0,1.2,57.1,14.3,0,1.2,155,7
2017-10-01,Oct,2017,NA,NA,NA,NA,NA,NA,NA,NA,219,22,197,90,10,10,11,9,1,1,5,4.1,0.5,0.5,50,40.9,4.5,0.5,197,22
2017-11-01,Nov,2017,NA,NA,NA,NA,NA,NA,NA,NA,253,18,235,92.9,7.1,7.1,12,2,3,1,4.7,0.8,1.2,0.4,66.7,11.1,16.7,0.4,235,18
2017-12-01,Dec,2017,NA,NA,NA,NA,NA,NA,NA,NA,209,6,203,97.1,2.9,2.9,4,0,0,2,1.9,0,0,1,66.7,0,0,1,203,6
2018-01-01,Jan,2018,NA,NA,NA,NA,NA,NA,NA,NA,227,12,215,94.7,5.3,5.3,5,3,1,3,2.2,1.3,0.4,1.3,41.7,25,8.3,1.3,215,12
2018-02-01,Feb,2018,NA,NA,NA,NA,NA,NA,NA,NA,204,12,192,94.1,5.9,5.9,7,4,0,1,3.4,2,0,0.5,58.3,33.3,0,0.5,192,12
2018-03-01,Mar,2018,NA,NA,NA,NA,NA,NA,NA,NA,286,16,270,94.4,5.6,5.6,10,1,2,3,3.5,0.3,0.7,1,62.5,6.2,12.5,1,270,16
2018-04-01,Apr,2018,NA,NA,NA,NA,NA,NA,NA,NA,215,9,206,95.8,4.2,4.2,6,3,0,0,2.8,1.4,0,0,66.7,33.3,0,0,206,9
2018-05-01,May,2018,NA,NA,NA,NA,NA,NA,NA,NA,230,7,223,97,3,3,3,2,2,0,1.3,0.9,0.9,0,42.9,28.6,28.6,0,223,7
2018-06-01,Jun,2018,NA,NA,NA,NA,NA,NA,NA,NA,212,8,204,96.2,3.8,3.8,5,1,1,1,2.4,0.5,0.5,0.5,62.5,12.5,12.5,0.5,204,8
2018-07-01,Jul,2018,NA,NA,NA,NA,NA,NA,NA,NA,209,12,197,94.3,5.7,5.7,8,2,0,2,3.8,1,0,1,66.7,16.7,0,1,197,12
2018-08-01,Aug,2018,NA,NA,NA,NA,NA,NA,NA,NA,224,20,204,91.1,8.9,8.9,9,3,8,0,4,1.3,3.6,0,45,15,40,0,204,20
2018-09-01,Sep,2018,NA,NA,NA,NA,NA,NA,NA,NA,224,9,215,96,4,4,5,4,0,0,2.2,1.8,0,0,55.6,44.4,0,0,215,9
