Date2,Month,Year,LocationName,CurrentDepartmentType,Status,Postcode,AddressLine,lon,lat,CAName,TotalOperations,Cancelled,Performed,Performed_PC,Cancelled_PC,Group,Cancelled by patient,Clinical reason,Capacity reason,Other reason,Cancelled_By_Patient_pc_of_planned_ops,Cancelled_clinical_reason_pc_of_planned_ops,Non_clinical_capacity_reason_pc_of_planned_ops,Other_Reason_pc_of_planned_ops,Cancelled_By_Patient_pc_of_cancelled_ops,Cancelled_clinical_reason_pc_of_cancelled_ops,Non_clinical_capacity_reason_pc_of_cancelled_ops,Other_Reason_pc_of_cancelled_ops,PerformedPopUp,CancelledPopUp
2015-05-01,May,2015,NA,NA,NA,NA,NA,NA,NA,NA,119,19,100,84,16,16,14,0,0,5,11.8,0,0,4.2,73.7,0,0,4.2,100,19
2015-06-01,Jun,2015,NA,NA,NA,NA,NA,NA,NA,NA,152,16,136,89.5,10.5,10.5,11,0,0,5,7.2,0,0,3.3,68.8,0,0,3.3,136,16
2015-07-01,Jul,2015,NA,NA,NA,NA,NA,NA,NA,NA,98,20,78,79.6,20.4,20.4,10,1,0,9,10.2,1,0,9.2,50,5,0,9.2,78,20
2015-08-01,Aug,2015,NA,NA,NA,NA,NA,NA,NA,NA,113,10,103,91.2,8.8,8.8,6,2,0,2,5.3,1.8,0,1.8,60,20,0,1.8,103,10
2015-09-01,Sep,2015,NA,NA,NA,NA,NA,NA,NA,NA,151,32,119,78.8,21.2,21.2,12,3,17,0,7.9,2,11.3,0,37.5,9.4,53.1,0,119,32
2015-10-01,Oct,2015,NA,NA,NA,NA,NA,NA,NA,NA,113,17,96,85,15,15,13,2,1,1,11.5,1.8,0.9,0.9,76.5,11.8,5.9,0.9,96,17
2015-11-01,Nov,2015,NA,NA,NA,NA,NA,NA,NA,NA,169,27,142,84,16,16,16,11,0,0,9.5,6.5,0,0,59.3,40.7,0,0,142,27
2015-12-01,Dec,2015,NA,NA,NA,NA,NA,NA,NA,NA,142,26,116,81.7,18.3,18.3,14,6,6,0,9.9,4.2,4.2,0,53.8,23.1,23.1,0,116,26
2016-01-01,Jan,2016,NA,NA,NA,NA,NA,NA,NA,NA,150,26,124,82.7,17.3,17.3,20,2,3,1,13.3,1.3,2,0.7,76.9,7.7,11.5,0.7,124,26
2016-02-01,Feb,2016,NA,NA,NA,NA,NA,NA,NA,NA,131,21,110,84,16,16,15,3,2,1,11.5,2.3,1.5,0.8,71.4,14.3,9.5,0.8,110,21
