Date2,Month,Year,LocationName,CurrentDepartmentType,Status,Postcode,AddressLine,lon,lat,CAName,TotalOperations,Cancelled,Performed,Performed_PC,Cancelled_PC,Group,Cancelled by patient,Clinical reason,Capacity reason,Other reason,Cancelled_By_Patient_pc_of_planned_ops,Cancelled_clinical_reason_pc_of_planned_ops,Non_clinical_capacity_reason_pc_of_planned_ops,Other_Reason_pc_of_planned_ops,Cancelled_By_Patient_pc_of_cancelled_ops,Cancelled_clinical_reason_pc_of_cancelled_ops,Non_clinical_capacity_reason_pc_of_cancelled_ops,Other_Reason_pc_of_cancelled_ops,PerformedPopUp,CancelledPopUp
2015-05-01,May,2015,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,148,13,135,91.2,8.8,8.8,5,3,1,4,3.4,2,0.7,2.7,38.5,23.1,7.7,2.7,135,13
2015-06-01,Jun,2015,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,163,15,148,90.8,9.2,9.2,8,7,0,0,4.9,4.3,0,0,53.3,46.7,0,0,148,15
2015-07-01,Jul,2015,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,143,19,124,86.7,13.3,13.3,3,4,11,1,2.1,2.8,7.7,0.7,15.8,21.1,57.9,0.7,124,19
2015-08-01,Aug,2015,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,157,10,147,93.6,6.4,6.4,4,4,2,0,2.5,2.5,1.3,0,40,40,20,0,147,10
2015-09-01,Sep,2015,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,167,7,160,95.8,4.2,4.2,3,2,0,2,1.8,1.2,0,1.2,42.9,28.6,0,1.2,160,7
2015-10-01,Oct,2015,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,114,8,106,93,7,7,3,3,1,1,2.6,2.6,0.9,0.9,37.5,37.5,12.5,0.9,106,8
2015-11-01,Nov,2015,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,181,19,162,89.5,10.5,10.5,8,11,0,0,4.4,6.1,0,0,42.1,57.9,0,0,162,19
2015-12-01,Dec,2015,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,121,6,115,95,5,5,2,4,0,0,1.7,3.3,0,0,33.3,66.7,0,0,115,6
2016-01-01,Jan,2016,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,134,11,123,91.8,8.2,8.2,2,5,4,0,1.5,3.7,3,0,18.2,45.5,36.4,0,123,11
2016-02-01,Feb,2016,Falkirk Community Hospital,Minor Injury Unit or Other ,Closed,FK1 5QE,"Majors Loan, Falkirk",-3.7945404001070977,55.9977741634294,Falkirk,141,7,134,95,5,5,4,0,3,0,2.8,0,2.1,0,57.1,0,42.9,0,134,7
