Date2,Month,Year,LocationName,CurrentDepartmentType,Status,Postcode,AddressLine,lon,lat,CAName,TotalOperations,Cancelled,Performed,Performed_PC,Cancelled_PC,Group,Cancelled by patient,Clinical reason,Capacity reason,Other reason,Cancelled_By_Patient_pc_of_planned_ops,Cancelled_clinical_reason_pc_of_planned_ops,Non_clinical_capacity_reason_pc_of_planned_ops,Other_Reason_pc_of_planned_ops,Cancelled_By_Patient_pc_of_cancelled_ops,Cancelled_clinical_reason_pc_of_cancelled_ops,Non_clinical_capacity_reason_pc_of_cancelled_ops,Other_Reason_pc_of_cancelled_ops,PerformedPopUp,CancelledPopUp
2015-05-01,May,2015,NA,NA,NA,NA,NA,NA,NA,NA,1312,100,1212,92.4,7.6,7.6,27,54,10,9,2.1,4.1,0.8,0.7,27,54,10,0.7,1212,100
2015-06-01,Jun,2015,NA,NA,NA,NA,NA,NA,NA,NA,1539,103,1436,93.3,6.7,6.7,31,55,10,7,2,3.6,0.6,0.5,30.1,53.4,9.7,0.5,1436,103
2015-07-01,Jul,2015,NA,NA,NA,NA,NA,NA,NA,NA,1515,126,1389,91.7,8.3,8.3,35,55,25,11,2.3,3.6,1.7,0.7,27.8,43.7,19.8,0.7,1389,126
2015-08-01,Aug,2015,NA,NA,NA,NA,NA,NA,NA,NA,1488,112,1376,92.5,7.5,7.5,41,56,6,9,2.8,3.8,0.4,0.6,36.6,50,5.4,0.6,1376,112
2015-09-01,Sep,2015,NA,NA,NA,NA,NA,NA,NA,NA,1523,120,1403,92.1,7.9,7.9,44,52,17,7,2.9,3.4,1.1,0.5,36.7,43.3,14.2,0.5,1403,120
2015-10-01,Oct,2015,NA,NA,NA,NA,NA,NA,NA,NA,1495,134,1361,91,9,9,35,72,14,13,2.3,4.8,0.9,0.9,26.1,53.7,10.4,0.9,1361,134
2015-11-01,Nov,2015,NA,NA,NA,NA,NA,NA,NA,NA,1380,109,1271,92.1,7.9,7.9,25,57,12,15,1.8,4.1,0.9,1.1,22.9,52.3,11,1.1,1271,109
2015-12-01,Dec,2015,NA,NA,NA,NA,NA,NA,NA,NA,1427,113,1314,92.1,7.9,7.9,32,60,14,7,2.2,4.2,1,0.5,28.3,53.1,12.4,0.5,1314,113
2016-01-01,Jan,2016,NA,NA,NA,NA,NA,NA,NA,NA,1285,135,1150,89.5,10.5,10.5,42,55,27,11,3.3,4.3,2.1,0.9,31.1,40.7,20,0.9,1150,135
2016-02-01,Feb,2016,NA,NA,NA,NA,NA,NA,NA,NA,1399,131,1268,90.6,9.4,9.4,45,54,27,5,3.2,3.9,1.9,0.4,34.4,41.2,20.6,0.4,1268,131
2016-03-01,Mar,2016,NA,NA,NA,NA,NA,NA,NA,NA,1409,141,1268,90,10,10,45,48,45,3,3.2,3.4,3.2,0.2,31.9,34,31.9,0.2,1268,141
2016-04-01,Apr,2016,NA,NA,NA,NA,NA,NA,NA,NA,1407,110,1297,92.2,7.8,7.8,37,44,22,7,2.6,3.1,1.6,0.5,33.6,40,20,0.5,1297,110
2016-05-01,May,2016,NA,NA,NA,NA,NA,NA,NA,NA,1476,124,1352,91.6,8.4,8.4,46,50,23,5,3.1,3.4,1.6,0.3,37.1,40.3,18.5,0.3,1352,124
2016-06-01,Jun,2016,NA,NA,NA,NA,NA,NA,NA,NA,1563,163,1400,89.6,10.4,10.4,27,75,41,20,1.7,4.8,2.6,1.3,16.6,46,25.2,1.3,1400,163
2016-07-01,Jul,2016,NA,NA,NA,NA,NA,NA,NA,NA,1435,129,1306,91,9,9,56,42,20,11,3.9,2.9,1.4,0.8,43.4,32.6,15.5,0.8,1306,129
2016-08-01,Aug,2016,NA,NA,NA,NA,NA,NA,NA,NA,1480,127,1353,91.4,8.6,8.6,44,46,23,14,3,3.1,1.6,0.9,34.6,36.2,18.1,0.9,1353,127
2016-09-01,Sep,2016,NA,NA,NA,NA,NA,NA,NA,NA,1459,108,1351,92.6,7.4,7.4,42,43,13,10,2.9,2.9,0.9,0.7,38.9,39.8,12,0.7,1351,108
2016-10-01,Oct,2016,NA,NA,NA,NA,NA,NA,NA,NA,1332,105,1227,92.1,7.9,7.9,20,57,15,13,1.5,4.3,1.1,1,19,54.3,14.3,1,1227,105
2016-11-01,Nov,2016,NA,NA,NA,NA,NA,NA,NA,NA,1409,108,1301,92.3,7.7,7.7,27,59,12,10,1.9,4.2,0.9,0.7,25,54.6,11.1,0.7,1301,108
