Date2,Month,Year,LocationName,CurrentDepartmentType,Status,Postcode,AddressLine,lon,lat,CAName,TotalOperations,Cancelled,Performed,Performed_PC,Cancelled_PC,Group,Cancelled by patient,Clinical reason,Capacity reason,Other reason,Cancelled_By_Patient_pc_of_planned_ops,Cancelled_clinical_reason_pc_of_planned_ops,Non_clinical_capacity_reason_pc_of_planned_ops,Other_Reason_pc_of_planned_ops,Cancelled_By_Patient_pc_of_cancelled_ops,Cancelled_clinical_reason_pc_of_cancelled_ops,Non_clinical_capacity_reason_pc_of_cancelled_ops,Other_Reason_pc_of_cancelled_ops,PerformedPopUp,CancelledPopUp
2018-04-01,Apr,2018,NA,NA,NA,NA,NA,NA,NA,NA,163,7,156,95.7,4.3,4.3,2,5,0,0,1.2,3.1,0,0,28.6,71.4,0,0,156,7
2018-05-01,May,2018,NA,NA,NA,NA,NA,NA,NA,NA,175,7,168,96,4,4,3,4,0,0,1.7,2.3,0,0,42.9,57.1,0,0,168,7
2018-06-01,Jun,2018,NA,NA,NA,NA,NA,NA,NA,NA,135,8,127,94.1,5.9,5.9,3,4,1,0,2.2,3,0.7,0,37.5,50,12.5,0,127,8
2018-07-01,Jul,2018,NA,NA,NA,NA,NA,NA,NA,NA,163,6,157,96.3,3.7,3.7,2,4,0,0,1.2,2.5,0,0,33.3,66.7,0,0,157,6
2018-08-01,Aug,2018,NA,NA,NA,NA,NA,NA,NA,NA,164,11,153,93.3,6.7,6.7,2,7,2,0,1.2,4.3,1.2,0,18.2,63.6,18.2,0,153,11
2018-09-01,Sep,2018,NA,NA,NA,NA,NA,NA,NA,NA,111,8,103,92.8,7.2,7.2,1,7,0,0,0.9,6.3,0,0,12.5,87.5,0,0,103,8
2018-10-01,Oct,2018,NA,NA,NA,NA,NA,NA,NA,NA,151,11,140,92.7,7.3,7.3,1,10,0,0,0.7,6.6,0,0,9.1,90.9,0,0,140,11
2018-11-01,Nov,2018,NA,NA,NA,NA,NA,NA,NA,NA,151,17,134,88.7,11.3,11.3,1,12,4,0,0.7,7.9,2.6,0,5.9,70.6,23.5,0,134,17
2018-12-01,Dec,2018,NA,NA,NA,NA,NA,NA,NA,NA,113,2,111,98.2,1.8,1.8,0,2,0,0,0,1.8,0,0,0,100,0,0,111,2
2019-01-01,Jan,2019,NA,NA,NA,NA,NA,NA,NA,NA,182,12,170,93.4,6.6,6.6,2,6,4,0,1.1,3.3,2.2,0,16.7,50,33.3,0,170,12
2019-02-01,Feb,2019,NA,NA,NA,NA,NA,NA,NA,NA,182,7,175,96.2,3.8,3.8,0,5,2,0,0,2.7,1.1,0,0,71.4,28.6,0,175,7
2019-03-01,Mar,2019,NA,NA,NA,NA,NA,NA,NA,NA,151,11,140,92.7,7.3,7.3,2,9,0,0,1.3,6,0,0,18.2,81.8,0,0,140,11
2019-04-01,Apr,2019,NA,NA,NA,NA,NA,NA,NA,NA,157,14,143,91.1,8.9,8.9,4,10,0,0,2.5,6.4,0,0,28.6,71.4,0,0,143,14
2019-05-01,May,2019,NA,NA,NA,NA,NA,NA,NA,NA,224,20,204,91.1,8.9,8.9,4,14,2,0,1.8,6.2,0.9,0,20,70,10,0,204,20
2019-06-01,Jun,2019,NA,NA,NA,NA,NA,NA,NA,NA,157,17,140,89.2,10.8,10.8,4,10,3,0,2.5,6.4,1.9,0,23.5,58.8,17.6,0,140,17
2019-07-01,Jul,2019,NA,NA,NA,NA,NA,NA,NA,NA,187,15,172,92,8,8,7,8,0,0,3.7,4.3,0,0,46.7,53.3,0,0,172,15
2019-08-01,Aug,2019,NA,NA,NA,NA,NA,NA,NA,NA,150,16,134,89.3,10.7,10.7,2,12,2,0,1.3,8,1.3,0,12.5,75,12.5,0,134,16
2019-09-01,Sep,2019,NA,NA,NA,NA,NA,NA,NA,NA,133,12,121,91,9,9,2,10,0,0,1.5,7.5,0,0,16.7,83.3,0,0,121,12
2019-10-01,Oct,2019,NA,NA,NA,NA,NA,NA,NA,NA,254,13,241,94.9,5.1,5.1,2,11,0,0,0.8,4.3,0,0,15.4,84.6,0,0,241,13
2019-11-01,Nov,2019,NA,NA,NA,NA,NA,NA,NA,NA,199,16,183,92,8,8,4,12,0,0,2,6,0,0,25,75,0,0,183,16
2019-12-01,Dec,2019,NA,NA,NA,NA,NA,NA,NA,NA,132,8,124,93.9,6.1,6.1,3,5,0,0,2.3,3.8,0,0,37.5,62.5,0,0,124,8
2020-01-01,Jan,2020,NA,NA,NA,NA,NA,NA,NA,NA,157,13,144,91.7,8.3,8.3,1,7,5,0,0.6,4.5,3.2,0,7.7,53.8,38.5,0,144,13
2020-02-01,Feb,2020,NA,NA,NA,NA,NA,NA,NA,NA,199,14,185,93,7,7,3,8,1,2,1.5,4,0.5,1,21.4,57.1,7.1,1,185,14
2020-03-01,Mar,2020,NA,NA,NA,NA,NA,NA,NA,NA,89,8,81,91,9,9,1,7,0,0,1.1,7.9,0,0,12.5,87.5,0,0,81,8
