HBCode,HBName,Shape_Leng,Shape_Area
S08000015,Ayrshire and Arran,679782.304484,3408802228.88
S08000016,Borders,525406.707597,4742684960.3
S08000017,Dumfries and Galloway,830301.195667,6676314851.37
S08000019,Forth Valley,430568.335921,2733658721.2
S08000020,Grampian,802844.27131,8800885267.67
S08000022,Highland,8486537.67501,33637044520.1
S08000024,Lothian,378923.097073,1760804005.65
S08000025,Orkney,1589228.17736,1086210772.17
S08000026,Shetland,2211513.89819,1656618008.29
S08000028,Western Isles,3723205.05752,3268473326.08
S08000029,Fife,367934.324088,1373332396.35
S08000030,Tayside,677992.591998,7684366162.94
S08000031,Greater Glasgow and Clyde,308045.846928,1150742248.03
S08000032,Lanarkshire,377969.164051,2246331440.39
